Prefecture,Primary_Industry_Workers,Total_Workers,Primary_Industry_Ratio
宮崎県,13896.0,446103.0,3.114975689470817
島根県,8039.0,296596.0,2.7104209092502933
岩手県,13210.0,518167.0,2.5493711486837256
鹿児島県,16612.0,659951.0,2.5171565767761543
秋田県,9687.0,398671.0,2.429823087207246
富山県,11923.0,508283.0,2.345740463481958
北海道,46731.0,2165390.0,2.158086995876032
青森県,10490.0,498418.0,2.1046591415237814
大分県,9240.0,475034.0,1.9451239279714716
高知県,5275.0,275477.0,1.9148604057689027
福井県,7116.0,373974.0,1.9028060774278426
新潟県,18260.0,1004621.0,1.8176008663963823
長野県,16342.0,929898.0,1.7573970478482586
鳥取県,4041.0,230055.0,1.7565364804068593
長崎県,8820.0,525985.0,1.6768539026778329
山形県,7800.0,465796.0,1.6745528085256207
熊本県,11686.0,716508.0,1.6309657393916048
佐賀県,5547.0,360756.0,1.5376043641685793
滋賀県,9496.0,617826.0,1.5370023275161615
徳島県,4024.0,304530.0,1.3213804879650608
香川県,5543.0,431667.0,1.284091672516083
愛媛県,7077.0,562714.0,1.257654865526715
山口県,6985.0,574259.0,1.216350113798826
福島県,9712.0,802365.0,1.2104216908763468
三重県,8980.0,798103.0,1.1251680547498255
宮城県,11401.0,1031186.0,1.1056201306068933
岐阜県,9557.0,884667.0,1.0802934889625135
茨城県,13097.0,1237104.0,1.0586822126514828
群馬県,9415.0,895790.0,1.0510275845901382
栃木県,8917.0,870819.0,1.0239785764894886
和歌山県,3730.0,378695.0,0.9849615125628806
山梨県,3596.0,366260.0,0.9818161961448151
石川県,5304.0,543315.0,0.9762292592694846
広島県,12145.0,1303624.0,0.931633661239744
岡山県,7146.0,838870.0,0.851860240561708
沖縄県,3891.0,584191.0,0.6660492886744233
静岡県,10957.0,1730955.0,0.6330031687709964
千葉県,13540.0,2151386.0,0.6293617230938567
京都府,6251.0,1148970.0,0.5440524991949311
兵庫県,11283.0,2221469.0,0.5079071551302314
福岡県,11648.0,2309989.0,0.5042448254082595
奈良県,1994.0,444916.0,0.44817448686943157
愛知県,11320.0,3818542.0,0.2964482255269158
埼玉県,7462.0,2602009.0,0.28677840852971687
神奈川県,6493.0,3525744.0,0.18415971210615406
大阪府,2932.0,4528208.0,0.06474967580994513
東京都,4813.0,9579434.0,0.050243051938141645
都道府県,0.0,0.0,0.0
